fsa,population_2021,total_private_dwellings_2021,occupied_private_dwellings_2021,source
A0A,44930,26102,19752,https://www150.statcan.gc.ca/n1/tbl/csv/98100019-eng.zip
A0B,19287,13265,9100,https://www150.statcan.gc.ca/n1/tbl/csv/98100019-eng.zip
A0C,11972,8069,5610,https://www150.statcan.gc.ca/n1/tbl/csv/98100019-eng.zip
A0E,21209,12623,9741,https://www150.statcan.gc.ca/n1/tbl/csv/98100019-eng.zip
A0G,33316,21177,14992,https://www150.statcan.gc.ca/n1/tbl/csv/98100019-eng.zip
A0H,16743,10841,7605,https://www150.statcan.gc.ca/n1/tbl/csv/98100019-eng.zip
A0J,7497,4696,3430,https://www150.statcan.gc.ca/n1/tbl/csv/98100019-eng.zip
A0K,24659,14914,11017,https://www150.statcan.gc.ca/n1/tbl/csv/98100019-eng.zip
A0L,7503,3871,3262,https://www150.statcan.gc.ca/n1/tbl/csv/98100019-eng.zip
A0M,5468,2958,2540,https://www150.statcan.gc.ca/n1/tbl/csv/98100019-eng.zip
A0N,12387,7581,5977,https://www150.statcan.gc.ca/n1/tbl/csv/98100019-eng.zip
A0P,13058,5176,4661,https://www150.statcan.gc.ca/n1/tbl/csv/98100019-eng.zip
A0R,2661,1401,1056,https://www150.statcan.gc.ca/n1/tbl/csv/98100019-eng.zip
A1A,30086,13520,12671,https://www150.statcan.gc.ca/n1/tbl/csv/98100019-eng.zip
A1B,20906,10326,9079,https://www150.statcan.gc.ca/n1/tbl/csv/98100019-eng.zip
A1C,12713,7562,6641,https://www150.statcan.gc.ca/n1/tbl/csv/98100019-eng.zip
A1E,26858,14123,12833,https://www150.statcan.gc.ca/n1/tbl/csv/98100019-eng.zip
A1G,5808,2741,2544,https://www150.statcan.gc.ca/n1/tbl/csv/98100019-eng.zip
A1H,6469,2530,2439,https://www150.statcan.gc.ca/n1/tbl/csv/98100019-eng.zip
A1K,12348,4968,4670,https://www150.statcan.gc.ca/n1/tbl/csv/98100019-eng.zip
A1L,22959,9332,8814,https://www150.statcan.gc.ca/n1/tbl/csv/98100019-eng.zip
A1M,8405,3354,3167,https://www150.statcan.gc.ca/n1/tbl/csv/98100019-eng.zip
A1N,22478,10686,9932,https://www150.statcan.gc.ca/n1/tbl/csv/98100019-eng.zip
A1S,6103,2557,2433,https://www150.statcan.gc.ca/n1/tbl/csv/98100019-eng.zip
A1V,11890,5429,5073,https://www150.statcan.gc.ca/n1/tbl/csv/98100019-eng.zip
A1W,11179,4668,4431,https://www150.statcan.gc.ca/n1/tbl/csv/98100019-eng.zip
A1X,15945,6676,6260,https://www150.statcan.gc.ca/n1/tbl/csv/98100019-eng.zip
A1Y,5436,2745,2429,https://www150.statcan.gc.ca/n1/tbl/csv/98100019-eng.zip
A2A,9277,4406,4091,https://www150.statcan.gc.ca/n1/tbl/csv/98100019-eng.zip
A2B,4739,2293,2099,https://www150.statcan.gc.ca/n1/tbl/csv/98100019-eng.zip
A2H,25290,12658,11325,https://www150.statcan.gc.ca/n1/tbl/csv/98100019-eng.zip
A2N,8613,4349,4052,https://www150.statcan.gc.ca/n1/tbl/csv/98100019-eng.zip
A2V,7447,3387,3089,https://www150.statcan.gc.ca/n1/tbl/csv/98100019-eng.zip
