fsa,zone_type,am_peak_vehicle,pm_peak_vehicle,total_vehicle,count_points,source
L1V,residential,331,312,1289,1,toronto_open_data_intersection_counts
L3R,residential,28010,33640,221668,11,toronto_open_data_intersection_counts
L3S,residential,4361,5299,50429,3,toronto_open_data_intersection_counts
L3T,residential,7764,8117,92751,2,toronto_open_data_intersection_counts
L4H,residential,9031,13406,86593,5,toronto_open_data_intersection_counts
L4J,residential,39246,50917,402824,17,toronto_open_data_intersection_counts
L4L,residential,22691,33239,250705,11,toronto_open_data_intersection_counts
L4T,residential,7199,7265,41566,2,toronto_open_data_intersection_counts
L4W,residential,3553,3566,35284,1,toronto_open_data_intersection_counts
L6B,residential,1585,1037,5289,1,toronto_open_data_intersection_counts
L6G,residential,9264,11619,73097,3,toronto_open_data_intersection_counts
M1B,leisure,126243,154644,1267040,123,toronto_open_data_intersection_counts
M1C,residential,35394,41719,301198,61,toronto_open_data_intersection_counts
M1E,residential,98483,108622,899205,83,toronto_open_data_intersection_counts
M1G,residential,75742,89828,708059,55,toronto_open_data_intersection_counts
M1H,residential,64411,79925,602463,43,toronto_open_data_intersection_counts
M1J,retail_hub,46649,63146,602698,40,toronto_open_data_intersection_counts
M1K,residential,90808,108782,909786,65,toronto_open_data_intersection_counts
M1L,residential,132580,170744,1457287,110,toronto_open_data_intersection_counts
M1M,residential,101640,111178,844544,57,toronto_open_data_intersection_counts
M1N,residential,75739,91204,649372,71,toronto_open_data_intersection_counts
M1P,retail_hub,151603,195868,1679087,84,toronto_open_data_intersection_counts
M1R,residential,173510,222786,1957242,95,toronto_open_data_intersection_counts
M1S,office_park,136661,160744,1467151,75,toronto_open_data_intersection_counts
M1T,residential,66251,81858,696663,37,toronto_open_data_intersection_counts
M1V,residential,150191,174135,1515496,96,toronto_open_data_intersection_counts
M1W,residential,61887,71706,636254,46,toronto_open_data_intersection_counts
M1X,residential,16691,21328,166748,20,toronto_open_data_intersection_counts
M2H,residential,88471,100982,699179,43,toronto_open_data_intersection_counts
M2J,residential,133681,150256,1131470,80,toronto_open_data_intersection_counts
M2K,leisure,52581,61853,543628,31,toronto_open_data_intersection_counts
M2L,residential,94070,103084,809910,43,toronto_open_data_intersection_counts
M2M,residential,92571,103753,752953,57,toronto_open_data_intersection_counts
M2N,retail_hub,207756,219433,1838241,115,toronto_open_data_intersection_counts
M2P,residential,25454,28253,197786,14,toronto_open_data_intersection_counts
M2R,leisure,88887,100310,747991,51,toronto_open_data_intersection_counts
M3A,residential,51302,59942,478955,32,toronto_open_data_intersection_counts
M3B,residential,93505,93785,786857,41,toronto_open_data_intersection_counts
M3C,residential,98187,102133,869996,60,toronto_open_data_intersection_counts
M3H,residential,140512,154387,1227503,97,toronto_open_data_intersection_counts
M3J,residential,119761,151826,1244807,85,toronto_open_data_intersection_counts
M3K,transit_hub,50600,61660,518102,25,toronto_open_data_intersection_counts
M3L,retail_hub,38863,52169,426173,30,toronto_open_data_intersection_counts
M3M,residential,52096,61577,521533,28,toronto_open_data_intersection_counts
M3N,retail_hub,69419,87286,760870,41,toronto_open_data_intersection_counts
M4A,residential,43928,52054,454513,33,toronto_open_data_intersection_counts
M4B,residential,51348,60084,541242,72,toronto_open_data_intersection_counts
M4C,residential,105235,112133,824842,135,toronto_open_data_intersection_counts
M4E,residential,77054,87241,616609,70,toronto_open_data_intersection_counts
M4G,retail_hub,120111,128939,1089459,108,toronto_open_data_intersection_counts
M4H,leisure,4545,6119,59246,5,toronto_open_data_intersection_counts
M4J,residential,118333,131836,1016236,140,toronto_open_data_intersection_counts
M4K,residential,87040,98088,734508,122,toronto_open_data_intersection_counts
M4L,residential,81424,93541,664297,102,toronto_open_data_intersection_counts
M4M,residential,109792,123097,1002600,106,toronto_open_data_intersection_counts
M4N,residential,67711,64411,520429,49,toronto_open_data_intersection_counts
M4P,residential,47300,47462,432705,35,toronto_open_data_intersection_counts
M4R,residential,60531,59481,456381,38,toronto_open_data_intersection_counts
M4S,residential,80133,81118,728999,72,toronto_open_data_intersection_counts
M4T,residential,20442,21584,204867,22,toronto_open_data_intersection_counts
M4V,residential,101014,104990,863725,85,toronto_open_data_intersection_counts
M4W,leisure,54714,55496,500029,42,toronto_open_data_intersection_counts
